mjd,mJyas2,mJyas2_err
53426.91191511076,9.765899619163903,1.0624393177485207
53426.91980511076,7.339996510304779,1.023379048713648
53427.91176911076,10.680005524104573,1.1727965962020976
53427.91965911076,7.017307934452738,1.1716137453738555
53429.92161611076,9.47231482846933,1.2609189829061382
53429.92309811076,7.324849149795696,1.1952707619386989
53445.913499110764,7.194952711288622,1.054627263941546
53446.913353110765,8.914600662953156,1.259144706663775
53465.847858110756,8.153850342523533,0.8324342689484611
53465.85281411076,8.489549281340551,0.8159177159931345
53465.85574811076,6.223560798634516,0.7989882492139248
53467.85770511076,7.015446930077651,0.886938893701039
53467.85918711076,8.15013411810859,0.8815710139905577
53484.84944211076,6.513343720235717,0.9241011378505238
53488.67963811076,7.0465757693148205,2.272786854242424
53489.679492110765,5.620715961547219,2.714051225401627
53502.662277110765,4.5630717837189465,1.5077263847460622
53503.66213111077,7.2881807741201925,1.758307756181965
53504.67634711076,5.874976019703517,1.4316890610248447
53505.676201110764,5.159640708698433,1.6985737893557356
53527.61558111076,6.222611096839586,1.9749668196331793
53528.76525111076,6.110889464780875,0.731194228899814
53528.77020711076,8.962399687756232,0.7216216961951841
53528.77314111076,7.807068625174352,0.7241989165387382
53530.77509811076,7.090969544001069,0.9351628103753915
53530.77658011076,6.489372680948549,0.9112314786138166
53541.59822011076,6.085606290075148,1.2007533998522446
53543.61229011076,5.743424604223172,1.1582232759922786
53546.70591011076,6.188424730629393,0.9645312767263102
53546.71086611076,9.008554261492904,0.9065594486950915
53546.71380011076,6.627211497969135,0.9165545914590942
53547.766835110764,7.2168851665004325,0.8129289312239624
53548.71575711076,5.92105466169231,1.3088639449462205
53548.71723911076,8.0805052558552,1.27488045954861
53565.707494110764,6.872042519973391,1.0294997046923309
53570.66636011076,7.466025842983001,0.7602365920638113
53570.67425011076,7.058814008829671,0.7299080046144572
53572.67620711076,8.250120923840306,1.0077178656505412
53572.67768911076,6.36610907148642,0.9733454665412731
53573.68762211076,7.258022025690266,1.2994049498934115
53574.68747611076,6.744069393128797,1.5382975021289238
53574.68760611076,9.59715925693326,1.467624508536927
53575.68746011076,6.341190401029522,1.518189038048807
53589.66794411076,4.49625055994224,0.9037919059907545
53590.53297411076,6.395488225576216,1.5978766130036217
53606.52968311076,6.521772022410374,1.0330971834304523
53608.47363311076,8.40484763854711,2.0470052380678583
53612.623565110756,7.921379859677316,0.997186884677844
53613.62354911076,5.857397077891399,1.0793567356305942
53624.47034211076,4.887556899894378,1.3508435445550344
53632.43408311076,5.824116994708163,1.8443824980867256
53648.43079211076,4.439637196703444,1.1322672647758893
53675.54095811076,6.26589085972892,1.2433247285975186
53676.54094211076,7.632922164817039,0.949153435097543
53693.48161711076,4.436276204099627,1.5342544142744934
53694.48160111076,6.425809371274468,1.3503437874168343
53698.006261110764,4.652129197118448,1.7077149622046077
53699.006115110766,2.6342541904014283,1.9759523085785218
53717.44206711076,6.552528789008456,1.222444264791969
53718.44205111076,5.151348048848291,1.0154011078043779
53736.93169711076,5.592380727446709,1.268884180792967
53736.94220411076,4.689503360143782,1.3890421035429676
53753.91077911076,7.692736779869037,1.2223260189979306
53754.91063311076,7.576204950797155,1.4957148723122065
53761.04673911076,5.291676002116091,1.8269789836577504
53761.04902311076,7.722682986129101,1.7795858572287724
53761.050515110765,5.315632967124145,2.000927381759714
53761.052023110766,4.766705986287413,1.8639560383440958
53761.05351411076,4.69535589485038,1.9264524687998914
53761.058062110766,11.066866979818712,2.083735152113643
53761.066184110765,2.905353965878973,2.0165514893736627
53762.03511411076,4.002687123965309,1.5519946896522507
53762.03675511076,5.131789300866679,1.5811596905316219
53762.03825111076,4.930759116233872,1.5410578143224867
53762.03973611076,7.110217967662308,1.5743892438989109
53762.04124411076,7.332965661878504,1.3619013803492068
53762.04659311076,8.632490740417403,2.1184858333817016
53762.04887711076,6.249223749133691,2.1244000875229117
53762.050369110766,6.754123625168859,2.1267657891793963
53762.05187711077,4.465898697934406,2.295913457618025
53762.05336811076,4.150668952207873,2.2846763747497243
53762.05791611077,8.711150320495506,2.554366363588936
53762.05868711076,8.791996911227763,1.6155327272823092
